unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1650412800000,2022-04-20 00:00:00,BTC/USD,41499.59,41563.01,41284.18,41329.2,12.71893039,525663.217874388
1650409200000,2022-04-19 23:00:00,BTC/USD,41402.28,41541.6,41402.28,41499.59,15.71433378,652138.4089931501
1650405600000,2022-04-19 22:00:00,BTC/USD,41301.23,41464.0,41268.5,41402.28,21.14770543,875563.2215703803
1650402000000,2022-04-19 21:00:00,BTC/USD,41290.02,41409.93,41267.86,41301.23,32.18011759,1329078.4380116358
1650398400000,2022-04-19 20:00:00,BTC/USD,41444.55,41444.55,41190.83,41290.02,56.2816319,2323869.706783638
1650394800000,2022-04-19 19:00:00,BTC/USD,41413.05,41553.31,41366.85,41444.55,29.48816391,1222123.6835761906
1650391200000,2022-04-19 18:00:00,BTC/USD,41364.83,41500.0,41325.37,41413.05,67.43996165,2792894.5038095326
1650387600000,2022-04-19 17:00:00,BTC/USD,41360.5,41385.24,41175.18,41364.83,27.32448529,1130272.6888583507
1650384000000,2022-04-19 16:00:00,BTC/USD,41472.35,41559.56,41254.73,41360.5,45.69582442,1890002.14592341
1650380400000,2022-04-19 15:00:00,BTC/USD,41591.54,41769.06,41397.76,41472.35,34.78091769,1442446.3917608715
1650376800000,2022-04-19 14:00:00,BTC/USD,41453.02,41702.12,41372.69,41591.54,73.41250408,3053339.0999434832
1650373200000,2022-04-19 13:00:00,BTC/USD,40969.71,41471.02,40858.07,41453.02,98.46485519,4081665.6114881733
1650369600000,2022-04-19 12:00:00,BTC/USD,40709.78,41098.24,40666.7,40969.71,27.43390663,1123959.1987981773
1650366000000,2022-04-19 11:00:00,BTC/USD,40815.67,41014.85,40683.3,40709.78,16.5946744,675565.543995632
1650362400000,2022-04-19 10:00:00,BTC/USD,40670.27,40816.19,40649.55,40815.67,2.9069144,118647.65886864798
1650358800000,2022-04-19 09:00:00,BTC/USD,40744.04,40762.85,40597.98,40670.27,5.46483495,222256.31292193648
1650355200000,2022-04-19 08:00:00,BTC/USD,40683.22,40854.11,40683.22,40744.04,3.98871501,162516.3639160404
1650351600000,2022-04-19 07:00:00,BTC/USD,40726.29,40757.46,40590.84,40683.22,10.47553807,426178.6199201854
1650348000000,2022-04-19 06:00:00,BTC/USD,40683.39,40816.16,40678.73,40726.29,1.52566656,62134.7387658624
1650344400000,2022-04-19 05:00:00,BTC/USD,40855.53,40883.62,40666.03,40683.39,15.40195281,626603.6529308258
1650340800000,2022-04-19 04:00:00,BTC/USD,40709.48,40883.27,40680.53,40855.53,5.49144278,224355.8052415734
1650337200000,2022-04-19 03:00:00,BTC/USD,40623.32,40789.81,40615.66,40709.48,11.94589763,486311.2806505324
1650333600000,2022-04-19 02:00:00,BTC/USD,40762.25,40778.94,40611.86,40623.32,18.0034202,731358.699879064
1650330000000,2022-04-19 01:00:00,BTC/USD,40899.33,40946.06,40722.68,40762.25,24.4974348,998570.5616763
1650326400000,2022-04-19 00:00:00,BTC/USD,40808.49,41259.01,40803.47,40899.33,67.25642482,2750742.713333371
1650322800000,2022-04-18 23:00:00,BTC/USD,40924.93,40972.45,40739.37,40808.49,13.29467089,542535.4440678561
1650319200000,2022-04-18 22:00:00,BTC/USD,40817.07,40929.21,40730.97,40924.93,20.05590915,820786.6780501095
1650315600000,2022-04-18 21:00:00,BTC/USD,40672.63,41081.91,40672.63,40817.07,58.68407509,2395312.000833786
1650312000000,2022-04-18 20:00:00,BTC/USD,40695.02,40903.98,40651.0,40672.63,74.72354066,3039202.9215541356
1650308400000,2022-04-18 19:00:00,BTC/USD,40647.34,40732.34,40416.62,40695.02,79.9515694,3253630.7157643875
1650304800000,2022-04-18 18:00:00,BTC/USD,40220.64,41036.8,40215.84,40647.34,298.8128962,12145949.388226107
1650301200000,2022-04-18 17:00:00,BTC/USD,39481.06,40361.17,39465.79,40220.64,227.44796056,9148102.540417958
1650297600000,2022-04-18 16:00:00,BTC/USD,39272.95,39633.93,39055.87,39481.06,57.28555293,2261694.3523625056
1650294000000,2022-04-18 15:00:00,BTC/USD,39356.42,39393.09,39139.76,39272.95,52.84636387,2075432.6059483162
1650290400000,2022-04-18 14:00:00,BTC/USD,39338.3,39581.92,39318.2,39356.42,104.40669143,4109073.59872948
1650286800000,2022-04-18 13:00:00,BTC/USD,39422.62,39600.0,39265.37,39338.3,54.31192907,2136538.959334381
1650283200000,2022-04-18 12:00:00,BTC/USD,39005.53,39498.98,39005.53,39422.62,23.08629095,910122.075331289
1650279600000,2022-04-18 11:00:00,BTC/USD,38943.06,39113.16,38943.06,39005.53,34.6522323,1351628.686544619
1650276000000,2022-04-18 10:00:00,BTC/USD,38980.38,39121.44,38941.67,38943.06,18.86358163,734605.5912319877
1650272400000,2022-04-18 09:00:00,BTC/USD,38878.89,38995.87,38814.91,38980.38,24.86891205,969399.6418955789
1650268800000,2022-04-18 08:00:00,BTC/USD,38918.92,39065.85,38866.99,38878.89,7.66942076,298178.5660917564
1650265200000,2022-04-18 07:00:00,BTC/USD,39001.79,39098.9,38823.66,38918.92,43.07944095,1676605.3159777739
1650261600000,2022-04-18 06:00:00,BTC/USD,38944.7,39086.57,38909.11,39001.79,15.76431314,614836.4305805207
1650258000000,2022-04-18 05:00:00,BTC/USD,38832.27,39059.06,38559.19,38944.7,79.84683488,3109611.030351136
1650254400000,2022-04-18 04:00:00,BTC/USD,39837.45,39855.52,38713.92,38832.27,198.81769426,7720542.384281769
1650250800000,2022-04-18 03:00:00,BTC/USD,39805.91,39886.8,39762.62,39837.45,5.57846517,222231.8272866165
1650247200000,2022-04-18 02:00:00,BTC/USD,39757.45,39830.3,39733.59,39805.91,5.45922903,217309.57943756733
1650243600000,2022-04-18 01:00:00,BTC/USD,39741.76,39824.13,39628.84,39757.45,36.76800287,1461802.0357038812
1650240000000,2022-04-18 00:00:00,BTC/USD,39694.59,39773.19,39597.36,39741.76,33.16791803,1318151.438047933
1650236400000,2022-04-17 23:00:00,BTC/USD,39996.41,40001.55,39572.66,39694.59,59.81035106,2374147.363082765
1650232800000,2022-04-17 22:00:00,BTC/USD,40214.81,40333.3,39962.41,39996.41,21.98654713,879382.9534958034
1650229200000,2022-04-17 21:00:00,BTC/USD,40272.78,40289.72,40145.42,40214.81,8.43811461,339337.17579937406
1650225600000,2022-04-17 20:00:00,BTC/USD,40378.75,40464.42,40269.08,40272.78,13.71748536,552441.2700565008
1650222000000,2022-04-17 19:00:00,BTC/USD,40120.5,40447.18,40101.73,40378.75,16.25765954,656463.9701507749
1650218400000,2022-04-17 18:00:00,BTC/USD,40111.32,40163.69,39866.77,40120.5,53.63287116,2151777.60737478
1650214800000,2022-04-17 17:00:00,BTC/USD,40225.41,40280.94,40057.22,40111.32,6.41226442,257204.39007523438
1650211200000,2022-04-17 16:00:00,BTC/USD,40464.63,40491.55,40162.16,40225.41,13.96888353,561904.0672364973
1650207600000,2022-04-17 15:00:00,BTC/USD,40362.84,40492.99,40339.86,40464.63,4.86267079,196766.1743291577
1650204000000,2022-04-17 14:00:00,BTC/USD,40341.71,40436.3,40222.41,40362.84,7.19404456,290372.0695281504
1650200400000,2022-04-17 13:00:00,BTC/USD,40434.12,40589.3,40281.7,40341.71,19.6515127,792775.626404717
1650196800000,2022-04-17 12:00:00,BTC/USD,40469.73,40489.34,40389.44,40434.12,2.4521175,99149.21324910001
1650193200000,2022-04-17 11:00:00,BTC/USD,40424.42,40471.29,40384.33,40469.73,3.99565062,161702.90176573262
1650189600000,2022-04-17 10:00:00,BTC/USD,40434.87,40470.55,40394.19,40424.42,4.77488644,193022.01490286482
1650186000000,2022-04-17 09:00:00,BTC/USD,40399.35,40524.96,40399.22,40434.87,2.08634523,84361.0981501701
1650182400000,2022-04-17 08:00:00,BTC/USD,40299.41,40421.91,40289.84,40399.35,2.9376835,118680.503905725
1650178800000,2022-04-17 07:00:00,BTC/USD,40343.64,40369.52,40256.57,40299.41,1.1691803,47117.27627362301
1650175200000,2022-04-17 06:00:00,BTC/USD,40389.54,40396.67,40330.6,40343.64,2.40806962,97150.2938442168
1650171600000,2022-04-17 05:00:00,BTC/USD,40291.6,40421.88,40279.99,40389.54,1.62750903,65734.3410675462
1650168000000,2022-04-17 04:00:00,BTC/USD,40253.71,40340.46,40253.2,40291.6,11.03137806,444471.872242296
1650164400000,2022-04-17 03:00:00,BTC/USD,40196.85,40300.0,40141.15,40253.71,10.83738771,436245.0620359041
1650160800000,2022-04-17 02:00:00,BTC/USD,40404.49,40404.76,40135.97,40196.85,3.84873556,154707.045994986
1650157200000,2022-04-17 01:00:00,BTC/USD,40396.3,40429.75,40349.66,40404.49,4.44164687,179462.47654244627
1650153600000,2022-04-17 00:00:00,BTC/USD,40393.73,40430.63,40325.35,40396.3,5.4832486,221502.95542018
1650150000000,2022-04-16 23:00:00,BTC/USD,40432.42,40510.87,40382.64,40393.73,11.59528203,468376.6915936719
1650146400000,2022-04-16 22:00:00,BTC/USD,40500.0,40689.81,40412.07,40432.42,29.40343995,1188852.233503179
1650142800000,2022-04-16 21:00:00,BTC/USD,40296.4,40601.34,40296.4,40500.0,15.05625197,609778.204785
1650139200000,2022-04-16 20:00:00,BTC/USD,40219.38,40382.1,40205.72,40296.4,19.10641773,769919.8514151721
1650135600000,2022-04-16 19:00:00,BTC/USD,40201.98,40259.51,40172.3,40219.38,8.5204279,342686.32747270196
1650132000000,2022-04-16 18:00:00,BTC/USD,40139.81,40214.37,40126.99,40201.98,6.69461932,269136.9520102536
1650128400000,2022-04-16 17:00:00,BTC/USD,40218.38,40253.98,40118.31,40139.81,6.66873269,267681.66311738885
1650124800000,2022-04-16 16:00:00,BTC/USD,40083.8,40248.21,40028.5,40218.38,13.11689103,527540.1078631313
1650121200000,2022-04-16 15:00:00,BTC/USD,40498.21,40582.41,40018.61,40083.8,74.46657489,2984903.2945757825
1650117600000,2022-04-16 14:00:00,BTC/USD,40445.76,40512.6,40412.66,40498.21,6.699209,271305.97291589
1650114000000,2022-04-16 13:00:00,BTC/USD,40469.61,40485.78,40393.03,40445.76,13.15494909,532061.9137063584
1650110400000,2022-04-16 12:00:00,BTC/USD,40424.72,40483.84,40352.64,40469.61,9.55921816,386857.83084011765
1650106800000,2022-04-16 11:00:00,BTC/USD,40422.17,40490.64,40407.03,40424.72,2.80304057,113312.1301908904
1650103200000,2022-04-16 10:00:00,BTC/USD,40339.53,40490.39,40316.9,40422.17,5.70004401,230408.1479797017
1650099600000,2022-04-16 09:00:00,BTC/USD,40379.92,40422.58,40298.16,40339.53,6.98269089,281678.4686378817
1650096000000,2022-04-16 08:00:00,BTC/USD,40410.95,40457.77,40358.8,40379.92,2.23199787,90127.89543077038
1650092400000,2022-04-16 07:00:00,BTC/USD,40426.52,40460.69,40385.71,40410.95,2.35578876,95199.66179092198
1650088800000,2022-04-16 06:00:00,BTC/USD,40475.26,40475.26,40396.94,40426.52,5.42155085,219174.433868542
